BookMakers,Competitions,Date,Time,Team_1,Team_2,W1,Draw,W2
OlympBet,World cup 2022,20.11.2022 19:00,20.11.2022 19:00,Катар,Эквадор,3.52,3.32,2.22
OlympBet,World cup 2022,21.11.2022 16:00,21.11.2022 16:00,Англия,Иран,1.33,5.20,11.00
OlympBet,World cup 2022,21.11.2022 19:00,21.11.2022 19:00,Сенегал,Нидерланды,5.99,3.89,1.64
OlympBet,World cup 2022,21.11.2022 22:00,21.11.2022 22:00,США,Уэльс,2.54,3.19,3.04
OlympBet,World cup 2022,22.11.2022 13:00,22.11.2022 13:00,Аргентина,Саудовская Аравия,1.17,7.50,20.00
OlympBet,World cup 2022,22.11.2022 16:00,22.11.2022 16:00,Дания,Тунис,1.47,4.39,8.00
OlympBet,World cup 2022,22.11.2022 19:00,22.11.2022 19:00,Мексика,Польша,2.79,3.14,2.79
OlympBet,World cup 2022,22.11.2022 22:00,22.11.2022 22:00,Франция,Австралия,1.25,6.39,13.00
OlympBet,World cup 2022,23.11.2022 13:00,23.11.2022 13:00,Марокко,Хорватия,4.39,3.39,1.95
OlympBet,World cup 2022,23.11.2022 16:00,23.11.2022 16:00,Германия,Япония,1.45,4.87,7.15
OlympBet,World cup 2022,23.11.2022 19:00,23.11.2022 19:00,Испания,Коста-Рика,1.21,6.74,16.75
OlympBet,World cup 2022,23.11.2022 22:00,23.11.2022 22:00,Бельгия,Канада,1.37,5.18,8.75
OlympBet,World cup 2022,24.11.2022 13:00,24.11.2022 13:00,Швейцария,Камерун,1.79,3.54,5.19
OlympBet,World cup 2022,24.11.2022 16:00,24.11.2022 16:00,Уругвай,Южная Корея,1.83,3.53,4.87
OlympBet,World cup 2022,24.11.2022 19:00,24.11.2022 19:00,Португалия,Гана,1.43,4.48,8.75
OlympBet,World cup 2022,24.11.2022 22:00,24.11.2022 22:00,Бразилия,Сербия,1.48,4.57,7.15
OlympBet,World cup 2022,25.11.2022 13:00,25.11.2022 13:00,Уэльс,Иран,2.22,3.19,3.69
OlympBet,World cup 2022,25.11.2022 16:00,25.11.2022 16:00,Катар,Сенегал,3.79,3.34,2.12
OlympBet,World cup 2022,25.11.2022 19:00,25.11.2022 19:00,Нидерланды,Эквадор,1.67,4.00,5.39
OlympBet,World cup 2022,25.11.2022 22:00,25.11.2022 22:00,Англия,США,1.69,3.78,5.57
OlympBet,World cup 2022,26.11.2022 13:00,26.11.2022 13:00,Тунис,Австралия,2.97,3.07,2.68
OlympBet,World cup 2022,26.11.2022 16:00,26.11.2022 16:00,Польша,Саудовская Аравия,1.66,3.83,5.78
OlympBet,World cup 2022,26.11.2022 19:00,26.11.2022 19:00,Франция,Дания,2.00,3.37,4.17
OlympBet,World cup 2022,26.11.2022 22:00,26.11.2022 22:00,Аргентина,Мексика,1.61,3.94,6.18
OlympBet,World cup 2022,27.11.2022 13:00,27.11.2022 13:00,Япония,Коста-Рика,1.94,3.44,4.39
OlympBet,World cup 2022,27.11.2022 16:00,27.11.2022 16:00,Бельгия,Марокко,1.56,4.28,6.17
OlympBet,World cup 2022,27.11.2022 19:00,27.11.2022 19:00,Хорватия,Канада,1.86,3.64,4.48
OlympBet,World cup 2022,27.11.2022 22:00,27.11.2022 22:00,Испания,Германия,2.60,3.35,2.85
OlympBet,World cup 2022,28.11.2022 13:00,28.11.2022 13:00,Камерун,Сербия,4.08,3.39,2.02
OlympBet,World cup 2022,28.11.2022 16:00,28.11.2022 16:00,Южная Корея,Гана,2.63,3.03,3.08
OlympBet,World cup 2022,28.11.2022 19:00,28.11.2022 19:00,Бразилия,Швейцария,1.54,4.29,6.59
OlympBet,World cup 2022,28.11.2022 22:00,28.11.2022 22:00,Португалия,Уругвай,2.12,3.34,3.79
OlympBet,World cup 2022,29.11.2022 18:00,29.11.2022 18:00,Нидерланды,Катар,1.32,5.61,10.00
OlympBet,World cup 2022,29.11.2022 18:00,29.11.2022 18:00,Эквадор,Сенегал,2.99,3.24,2.55
OlympBet,World cup 2022,29.11.2022 22:00,29.11.2022 22:00,Уэльс,Англия,6.17,4.08,1.59
OlympBet,World cup 2022,29.11.2022 22:00,29.11.2022 22:00,Иран,США,3.48,3.43,2.19
OlympBet,World cup 2022,30.11.2022 18:00,30.11.2022 18:00,Австралия,Дания,6.77,3.74,1.61
OlympBet,World cup 2022,30.11.2022 18:00,30.11.2022 18:00,Тунис,Франция,15.00,5.95,1.25
OlympBet,World cup 2022,30.11.2022 22:00,30.11.2022 22:00,Саудовская Аравия,Мексика,6.54,4.26,1.55
OlympBet,World cup 2022,30.11.2022 22:00,30.11.2022 22:00,Польша,Аргентина,4.77,4.28,1.69
OlympBet,World cup 2022,01.12.2022 18:00,01.12.2022 18:00,Хорватия,Бельгия,3.99,3.69,1.95
OlympBet,World cup 2022,01.12.2022 18:00,01.12.2022 18:00,Канада,Марокко,3.28,3.38,2.30
OlympBet,World cup 2022,01.12.2022 22:00,01.12.2022 22:00,Коста-Рика,Германия,11.00,5.75,1.30
OlympBet,World cup 2022,01.12.2022 22:00,01.12.2022 22:00,Япония,Испания,9.75,5.59,1.33
OlympBet,World cup 2022,02.12.2022 18:00,02.12.2022 18:00,Гана,Уругвай,4.78,3.69,1.80
OlympBet,World cup 2022,02.12.2022 18:00,02.12.2022 18:00,Южная Корея,Португалия,9.25,4.88,1.38
OlympBet,World cup 2022,02.12.2022 22:00,02.12.2022 22:00,Камерун,Бразилия,9.50,5.39,1.35
OlympBet,World cup 2022,02.12.2022 22:00,02.12.2022 22:00,Сербия,Швейцария,2.83,3.48,2.53
